,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete,NP.V.PP.initial_loc,NP.V.PP,NP.V.out.NP,NP.theme.V.PP.initial_location,NP.theme.V.out.NP.initial_location,NP.concrete.V.PP.concrete,NP.concrete.V.out.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.across.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.across.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.across.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.across.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.along.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.along.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.along.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.along.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.around.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.around.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.around.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.around.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.at.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.at.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.at.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.at.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.down.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.down.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.down.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.down.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.for.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.for.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.for.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.for.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.from.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.from.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.from.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.from.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.into.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.into.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.into.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.into.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.off.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.off.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.off.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.off.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.off_of.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.off_of.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.off_of.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.off_of.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.onto.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.onto.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.onto.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.onto.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.out.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.out.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.out.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.out.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.out_of.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.out_of.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.out_of.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.out_of.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.over.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.over.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.over.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.over.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.past.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.past.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.past.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.past.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.round.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.round.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.round.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.round.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.through.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.through.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.through.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.through.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.to.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.to.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.to.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.to.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.towards.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.towards.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.towards.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.towards.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_loc.initial_location.concrete.up.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out.NP.up.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.up.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out.NP.concrete.up.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out.NP.initial_location.location,NP.V.PP.initial_location,NP.V.PP,NP.V.out.NP,NP.theme.V.PP.initial_location,NP.theme.V.out.NP.initial_location,NP.concrete.V.PP.location,NP.concrete.V.out.NP.location,NP.theme.concrete.V.PP.initial_location.location
NP.theme.concrete.V.out.NP.initial_location.location.to.NP.destination.OR..animate.location.region..location.region,NP.V.PP.initial_location.PP.destination,NP.V.PP.PP,NP.V.out.NP.to.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out.NP.initial_location.to.NP.destination,NP.concrete.V.PP.location.PP.OR..animate.location.region..location.region,NP.concrete.V.out.NP.location.to.NP.OR..animate.location.region..location.region,NP.theme.concrete.V.PP.initial_location.location.PP.destination.OR..animate.location.region..location.region
NP.theme.concrete.V.out.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.out.NP,NP.theme.V.PP.location,NP.theme.V.out.NP.location,NP.concrete.V.PP.concrete,NP.concrete.V.out.NP.concrete,NP.theme.concrete.V.PP.location.concrete
NP.theme.concrete.V.out.NP.location.location,NP.V.PP.location,NP.V.PP,NP.V.out.NP,NP.theme.V.PP.location,NP.theme.V.out.NP.location,NP.concrete.V.PP.location,NP.concrete.V.out.NP.location,NP.theme.concrete.V.PP.location.location
NP.theme.concrete.V.out.NP.trajectory.concrete,NP.V.PP.trajectory,NP.V.PP,NP.V.out.NP,NP.theme.V.PP.trajectory,NP.theme.V.out.NP.trajectory,NP.concrete.V.PP.concrete,NP.concrete.V.out.NP.concrete,NP.theme.concrete.V.PP.trajectory.concrete
NP.theme.concrete.V.out_of.NP.destination.concrete,NP.V.PP.destination,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.destination,NP.theme.V.out_of.NP.destination,NP.concrete.V.PP.concrete,NP.concrete.V.out_of.NP.concrete,NP.theme.concrete.V.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.destination.location.region,NP.V.PP.destination,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.destination,NP.theme.V.out_of.NP.destination,NP.concrete.V.PP.location.region,NP.concrete.V.out_of.NP.location.region,NP.theme.concrete.V.PP.destination.location.region
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete,NP.V.PP.initial_loc,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.initial_location,NP.theme.V.out_of.NP.initial_location,NP.concrete.V.PP.concrete,NP.concrete.V.out_of.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.across.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.across.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.across.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.across.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.along.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.along.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.along.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.along.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.around.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.around.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.around.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.around.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.at.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.at.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.at.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.at.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.down.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.down.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.down.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.down.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.for.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.for.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.for.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.for.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.from.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.from.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.from.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.from.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.into.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.into.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.into.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.into.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.off.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.off.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.off.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.off.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.off_of.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.off_of.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.off_of.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.off_of.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.onto.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.onto.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.onto.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.onto.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.out.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.out.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.out.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.out.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.out_of.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.out_of.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.out_of.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.out_of.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.over.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.over.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.over.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.over.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.past.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.past.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.past.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.past.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.round.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.round.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.round.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.round.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.through.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.through.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.through.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.through.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.to.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.to.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.to.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.to.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.towards.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.towards.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.towards.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.towards.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_loc.initial_location.concrete.up.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.up.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.up.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.out_of.NP.concrete.up.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.out_of.NP.initial_location.location,NP.V.PP.initial_location,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.initial_location,NP.theme.V.out_of.NP.initial_location,NP.concrete.V.PP.location,NP.concrete.V.out_of.NP.location,NP.theme.concrete.V.PP.initial_location.location
NP.theme.concrete.V.out_of.NP.initial_location.location.to.NP.destination.OR..animate.location.region..location.region,NP.V.PP.initial_location.PP.destination,NP.V.PP.PP,NP.V.out_of.NP.to.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.out_of.NP.initial_location.to.NP.destination,NP.concrete.V.PP.location.PP.OR..animate.location.region..location.region,NP.concrete.V.out_of.NP.location.to.NP.OR..animate.location.region..location.region,NP.theme.concrete.V.PP.initial_location.location.PP.destination.OR..animate.location.region..location.region
NP.theme.concrete.V.out_of.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.location,NP.theme.V.out_of.NP.location,NP.concrete.V.PP.concrete,NP.concrete.V.out_of.NP.concrete,NP.theme.concrete.V.PP.location.concrete
NP.theme.concrete.V.out_of.NP.location.location,NP.V.PP.location,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.location,NP.theme.V.out_of.NP.location,NP.concrete.V.PP.location,NP.concrete.V.out_of.NP.location,NP.theme.concrete.V.PP.location.location
NP.theme.concrete.V.out_of.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.location,NP.theme.V.out_of.NP.location,NP.concrete.V.PP.location.region,NP.concrete.V.out_of.NP.location.region,NP.theme.concrete.V.PP.location.location.region
NP.theme.concrete.V.out_of.NP.trajectory.concrete,NP.V.PP.trajectory,NP.V.PP,NP.V.out_of.NP,NP.theme.V.PP.trajectory,NP.theme.V.out_of.NP.trajectory,NP.concrete.V.PP.concrete,NP.concrete.V.out_of.NP.concrete,NP.theme.concrete.V.PP.trajectory.concrete
NP.theme.concrete.V.outside.NP.destination.location.region,NP.V.PP.destination,NP.V.PP,NP.V.outside.NP,NP.theme.V.PP.destination,NP.theme.V.outside.NP.destination,NP.concrete.V.PP.location.region,NP.concrete.V.outside.NP.location.region,NP.theme.concrete.V.PP.destination.location.region
NP.theme.concrete.V.outside.NP.location.concrete,NP.V.PP.location,NP.V.PP,NP.V.outside.NP,NP.theme.V.PP.location,NP.theme.V.outside.NP.location,NP.concrete.V.PP.concrete,NP.concrete.V.outside.NP.concrete,NP.theme.concrete.V.PP.location.concrete
NP.theme.concrete.V.outside.NP.location.location.region,NP.V.PP.location,NP.V.PP,NP.V.outside.NP,NP.theme.V.PP.location,NP.theme.V.outside.NP.location,NP.concrete.V.PP.location.region,NP.concrete.V.outside.NP.location.region,NP.theme.concrete.V.PP.location.location.region
NP.theme.concrete.V.over.NP.destination.concrete,NP.V.PP.destination,NP.V.PP,NP.V.over.NP,NP.theme.V.PP.destination,NP.theme.V.over.NP.destination,NP.concrete.V.PP.concrete,NP.concrete.V.over.NP.concrete,NP.theme.concrete.V.PP.destination.concrete
NP.theme.concrete.V.over.NP.destination.location.region,NP.V.PP.destination,NP.V.PP,NP.V.over.NP,NP.theme.V.PP.destination,NP.theme.V.over.NP.destination,NP.concrete.V.PP.location.region,NP.concrete.V.over.NP.location.region,NP.theme.concrete.V.PP.destination.location.region
NP.theme.concrete.V.over.NP.initial_loc.initial_location.concrete,NP.V.PP.initial_loc,NP.V.PP,NP.V.over.NP,NP.theme.V.PP.initial_location,NP.theme.V.over.NP.initial_location,NP.concrete.V.PP.concrete,NP.concrete.V.over.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete
NP.theme.concrete.V.over.NP.initial_loc.initial_location.concrete.across.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.over.NP.across.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.over.NP.initial_location.across.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.over.NP.concrete.across.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.over.NP.initial_loc.initial_location.concrete.along.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.over.NP.along.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.over.NP.initial_location.along.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.over.NP.concrete.along.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.over.NP.initial_loc.initial_location.concrete.around.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.over.NP.around.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.over.NP.initial_location.around.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.over.NP.concrete.around.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.over.NP.initial_loc.initial_location.concrete.at.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.over.NP.at.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.over.NP.initial_location.at.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.over.NP.concrete.at.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
NP.theme.concrete.V.over.NP.initial_loc.initial_location.concrete.down.NP.destination.concrete,NP.V.PP.initial_loc.PP.destination,NP.V.PP.PP,NP.V.over.NP.down.NP,NP.theme.V.PP.initial_location.PP.destination,NP.theme.V.over.NP.initial_location.down.NP.destination,NP.concrete.V.PP.concrete.PP.concrete,NP.concrete.V.over.NP.concrete.down.NP.concrete,NP.theme.concrete.V.PP.initial_loc.initial_location.concrete.PP.destination.concrete
